male,white,black,hispanic,mompro2,poppro2,siblings,norest96,norcen96,south96,west96,height81,height85,esteem80,athlets,wage96,hgc96,daded79,momed79,age,clubnum
0,1,0,0,0,0,3,1,0,0,0,61,62,24,,13.354701,12,12,12,,
0,1,0,0,0,0,3,1,0,0,0,66,66,21,0,5.1282053,12,12,10,35,0
1,1,0,0,0,0,3,1,0,0,0,70,70,22,0,17.788462,13,12,10,34,0
0,1,0,0,0,1,4,1,0,0,0,64,64,27,1,7.8534031,12,12,12,36,1
1,0,1,0,0,0,4,,,,,71,,26,1,,,10,6,,0
0,0,1,0,0,0,4,,,,,,62,23,0,,,10,6,,0
0,1,0,0,0,0,1,,,,,,66,18,0,6.5934067,14,8,12,39,0
1,1,0,0,0,0,0,0,0,0,1,70,69,25,0,21.634615,16,12,13,34,0
0,1,0,0,0,0,9,1,0,0,0,63,62,14,0,,9,,12,38,0
1,1,0,0,0,0,2,,,,,,73,20,0,,,7,10,,1
0,0,0,1,0,0,1,1,0,0,0,61,65,22,0,22.435898,13,12,13,35,0
0,1,0,0,0,0,2,,,,,66,65,,0,6.902564,14,9,12,,1
0,1,0,0,0,0,2,,,,,64,64,24,0,,,12,12,,2
1,1,0,0,0,0,2,,,,,72,71,26,0,,,12,12,36,0
1,1,0,0,0,0,2,1,0,0,0,71,72,26,1,10.989011,14,14,12,37,0
0,1,0,0,0,1,2,1,0,0,0,60,60,26,0,9.6153851,12,12,11,37,0
0,1,0,0,0,1,4,0,0,1,0,63,63,28,1,17.416546,16,16,12,39,0
1,1,0,0,0,0,1,,,,,,,,,,,12,14,37,
1,1,0,0,0,0,1,,,,,,,,,,,,,,
0,1,0,0,0,0,3,1,0,0,0,62,62,21,1,,12,12,12,37,0
0,1,0,0,0,0,3,1,0,0,0,66,65,24,1,9.6153851,16,12,12,35,0
1,1,0,0,0,0,3,1,0,0,0,72,72,21,1,12,12,12,12,31,0
0,1,0,0,0,0,2,1,0,0,0,65,65,22,1,25.408653,15,12,12,37,4
1,1,0,0,0,0,2,,,,,72,75,23,1,,,12,12,,3
0,1,0,0,0,0,1,0,0,1,0,65,,21,0,5.4945054,10,12,10,37,0
1,1,0,0,0,0,2,0,0,1,0,75,74,25,0,18.26923,16,12,10,37,0
0,1,0,0,0,1,2,,,,,63,63,25,0,,18,17,16,34,3
1,1,0,0,0,1,2,1,0,0,0,67,68,28,1,33.333332,19,17,16,32,3
0,1,0,0,0,1,1,1,0,0,0,61,61,24,1,43.103447,16,12,12,33,2
1,1,0,0,0,0,1,1,0,0,0,68,68,23,0,29.326923,16,12,12,38,1
1,1,0,0,0,1,1,,,,,72,72,24,1,,,12,12,32,0
1,1,0,0,0,1,1,0,0,1,0,72,72,26,0,54.008076,18,16,10,37,0
1,1,0,0,0,0,1,1,0,0,0,71,72,21,1,25.887573,18,16,20,32,1
0,1,0,0,0,0,3,1,0,0,0,61,62,21,0,,12,12,11,33,0
1,1,0,0,1,1,1,0,0,0,1,68,70,27,1,22.727272,18,17,16,33,1
1,1,0,0,0,0,2,1,0,0,0,66,66,21,0,12.820513,12,12,12,37,0
0,1,0,0,0,0,2,1,0,0,0,63,63,18,1,9.6153851,12,12,16,37,1
1,1,0,0,0,1,1,1,0,0,0,71,70,28,1,45.006729,16,20,13,39,1
1,1,0,0,0,1,1,0,0,0,1,73,,26,1,10.084034,14,16,16,35,5
0,0,0,1,0,0,1,,,,,63,,23,0,,,,10,,0
0,0,0,1,0,0,5,1,0,0,0,,,24,,11.153846,11,16,5,39,
0,0,0,1,0,0,4,1,0,0,0,62,62,23,0,,12,12,,39,0
1,1,0,0,0,0,2,,,,,,,23,,,,12,11,,
1,1,0,0,0,1,2,1,0,0,0,69,70,21,0,12.698413,9,10,9,33,0
0,1,0,0,0,0,3,1,0,0,0,,65,25,0,,12,,,38,0
1,1,0,0,0,0,2,1,0,0,0,70,70,27,1,12.820513,11,,12,35,0
1,1,0,0,0,1,2,1,0,0,0,,70,20,1,15.384615,16,12,12,,0
0,1,0,0,0,1,2,1,0,0,0,66,62,26,1,17.788462,16,12,12,32,0
1,1,0,0,0,0,3,1,0,0,0,73,72,27,1,2.7696793,12,16,12,35,0
1,1,0,0,0,1,3,1,0,0,0,71,72,23,1,0,16,16,12,33,3
1,1,0,0,0,1,3,1,0,0,0,72,72,21,1,12.743448,15,16,12,32,0
1,1,0,0,0,1,2,,,,,76,76,21,1,,,12,12,,0
0,1,0,0,0,1,2,,,,,,,23,,,,14,11,,
1,1,0,0,0,0,2,,,,,,,24,,,,14,12,,
1,1,0,0,0,1,2,1,0,0,0,67,67,28,0,60.008976,16,12,12,38,2
0,1,0,0,0,1,1,1,0,0,0,64,65,25,0,33.173077,20,11,12,37,0
0,1,0,0,0,1,1,1,0,0,0,67,67,25,1,43.956043,20,12,12,34,1
0,0,1,0,0,0,6,1,0,0,0,54,61,19,0,0,10,,,31,0
1,0,1,0,0,0,6,1,0,0,0,65,66,16,1,,9,,9,34,0
1,0,1,0,0,0,6,1,0,0,0,,65,21,0,20.673077,9,,,33,0
0,0,1,0,0,0,6,1,0,0,0,64,,27,0,7.6530614,12,,9,36,0
1,0,0,1,0,0,3,,,,,63,63,22,0,,,,9,,0
1,0,0,1,0,0,3,,,,,66,68,,0,,,6,9,,0
0,0,1,0,0,0,4,1,0,0,0,63,63,20,0,7.0588236,12,9,9,38,0
0,0,0,1,0,0,4,,,,,,63,20,0,,9,15,12,38,0
0,1,0,0,0,0,1,1,0,0,0,67,67,26,1,14.4,11,9,8,33,1
1,1,0,0,0,0,2,1,0,0,0,71,71,27,1,13.247863,15,8,12,31,0
0,1,0,0,0,0,3,1,0,0,0,62,61,24,0,,12,16,,38,0
1,1,0,0,0,1,3,1,0,0,0,68,69,21,1,11.778846,14,14,10,34,0
1,1,0,0,0,1,3,1,0,0,0,63,70,21,0,14.722222,12,15,10,32,0
1,1,0,0,0,0,7,1,0,0,0,69,69,24,1,6.875,12,9,9,,0
1,1,0,0,0,1,3,1,0,0,0,69,68,27,1,22.137747,15,12,12,33,0
0,1,0,0,0,0,1,1,0,0,0,65,65,28,0,15.625,13,12,9,34,0
0,1,0,0,0,0,4,0,0,1,0,67,66,26,0,,12,7,11,38,1
0,1,0,0,0,0,6,,,,,,,25,,,,12,9,,
0,1,0,0,0,0,7,1,0,0,0,62,62,21,0,,10,11,10,35,0
0,1,0,0,0,0,6,1,0,0,0,65,66,25,0,10.638298,12,8,8,33,0
1,1,0,0,0,0,6,,,,,64,64,24,0,,,11,11,,0
0,1,0,0,0,0,2,0,0,0,1,66,66,26,1,12.019231,12,12,12,37,2
1,1,0,0,0,1,3,1,0,0,0,72,72,24,1,17.521368,12,12,12,38,0
0,1,0,0,1,0,4,1,0,0,0,62,62,20,1,13.325119,12,7,16,39,1
0,1,0,0,0,0,3,1,0,0,0,64,64,22,1,12.244898,14,12,14,33,2
1,1,0,0,0,0,3,0,0,1,0,71,71,21,1,,17,12,12,,2
1,1,0,0,0,0,4,0,0,1,0,70,69,26,0,16.538462,19,8,13,37,0
1,1,0,0,0,0,4,1,0,0,0,72,72,26,0,7.1428571,12,8,16,35,1
0,1,0,0,0,0,4,1,0,0,0,65,65,21,0,10.576923,17,12,12,33,0
0,1,0,0,0,0,1,1,0,0,0,,,14,,,12,8,12,38,
1,1,0,0,0,0,2,0,0,0,1,67,65,,0,,12,10,10,,1
0,1,0,0,0,0,2,1,0,0,0,65,65,,0,,12,,10,32,0
1,1,0,0,0,0,2,1,0,0,0,67,66,21,0,6.7307692,11,12,8,31,0
0,1,0,0,0,0,4,1,0,0,0,65,64,28,0,12.651822,12,8,11,35,1
0,1,0,0,0,1,4,1,0,0,0,64,49,22,1,5.6089745,12,8,10,34,0
0,1,0,0,0,0,2,0,0,1,0,64,64,22,0,5.94947,13,9,11,34,0
1,1,0,0,0,0,2,0,0,1,0,68,,22,,5.9276824,12,9,11,31,
0,1,0,0,0,0,3,1,0,0,0,66,66,25,1,6.9965677,14,12,14,38,1
1,1,0,0,0,0,2,1,0,0,0,76,76,24,1,6.0043669,12,12,12,37,0
1,1,0,0,0,1,3,1,0,0,0,67,68,28,0,19.23077,14,18,12,35,1
1,1,0,0,0,1,3,1,0,0,0,71,71,28,0,15.144231,14,8,12,33,0
0,1,0,0,0,0,4,0,0,1,0,65,66,27,0,13.701923,12,,12,36,0
1,1,0,0,0,0,4,,,,,69,69,27,0,,,12,12,,0
0,1,0,0,0,0,2,1,0,0,0,,65,26,1,13.663968,16,10,10,34,0
0,1,0,0,0,0,0,0,1,0,0,69,69,26,1,,16,,12,33,0
1,1,0,0,0,0,2,,,,,,,15,,,,14,12,,
1,1,0,0,0,0,2,,,,,69,,23,,,,12,8,,
1,1,0,0,0,0,4,1,0,0,0,67,68,27,0,11.22449,12,13,12,37,0
1,1,0,0,0,0,0,1,0,0,0,70,69,28,0,52.989056,16,18,12,37,0
1,1,0,0,0,1,3,1,0,0,0,68,68,21,0,18.028847,12,16,12,34,0
0,1,0,0,0,1,3,1,0,0,0,65,62,25,0,8.7209301,20,16,12,32,1
