"","COWcode","year","country_name","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_delibdem","v2x_egaldem","v2x_regime","v2x_regime_amb","v2x_ex_military","v2x_ex_confidence","v2x_ex_direlect","v2x_ex_hereditary","v2x_ex_party","v2x_neopat","v2xnp_client","v2x_frassoc_thick","v2x_jucon","v2xlg_legcon","v2x_cspart","v2lpname","v2exhoshog","v2exremhog","v2exdjdshg","v2exdfvthg","v2reginfo","v2regint","v2regendtype","v2regimpgroup","v2regsupgroupssize","v2lgoppart","v2dlencmps","v2juhcind","v2juncind","v2juhccomp","v2jucomp","v2jureview","v2stfisccap","v2svstterr","v2mecenefi","v2mecenefm","v2exl_legitideol","v2exl_legitideolcr_0","v2exl_legitideolcr_1","v2exl_legitideolcr_2","v2exl_legitideolcr_3","v2exl_legitideolcr_4","v2xpe_exlsocgr","v2x_gencl","v2x_rule","v2xcl_prpty","v2xcs_ccsi","v2x_clpol","v2x_clpriv","v2clfmove","v2xcl_dmove","v2cldmovem","v2cldmovew","v2cldiscm","v2cldiscw","v2clslavem","v2clslavef","v2clstown","v2clprptym","v2clprptyw","v2clacjstm","v2clacjstw","e_legparty","e_autoc","e_peaveduc","e_migdppc","e_migdppcln","e_cow_exports","e_cow_imports","e_total_fuel_income_pc","e_total_oil_income_pc","e_miurbani","e_mipopula","e_civil_war","e_miinteco","v2exrmhgnp_0","v2exrmhgnp_1","v2exrmhgnp_2","v2exrmhgnp_3","v2exrmhgnp_4","v2exrmhgnp_5","v2exrmhgnp_6","v2exrmhgnp_7","v2exrmhgnp_8","v2exctlhg_0","v2exctlhg_1","v2exctlhg_2","v2exctlhg_3","v2exctlhg_4","v2exctlhg_5","v2exctlhg_6","v2exctlhg_7","v2exctlhg_8","v2regsupgroups_0","v2regsupgroups_1","v2regsupgroups_2","v2regsupgroups_3","v2regsupgroups_4","v2regsupgroups_5","v2regsupgroups_6","v2regsupgroups_7","v2regsupgroups_8","v2regsupgroups_9","v2regsupgroups_10","v2regsupgroups_11","v2regsupgroups_12","v2regsupgroups_13","v2exl_legitlead","ccode.x","onsets","revonsets","sideaonsets","force_onsets","force_revonsets","force_sideaonsets","leader","age0","age","usedforce","irregulartransition","foundingleader","foreigninstall","radicalideology","democratizing","revolutionaryleader","chg_executivepower","chg_politicalideology","chg_propertyownership","chg_womenandethnicstatus","chg_religioningovernment","chg_revolutionarycommittee","totalcategorieschanged","muslim","durable","cinc","majorpower","peaceyears","dem","conflict.status","trade","rule.inverse","X1","dispnum","stabb","ccode.y","stday","stmon","styear","endday","endmon","endyear","sidea","revstate","revtype1","revtype2","fatality","fatalpre","hiact","hostlev","orig","version","outcome","settle","recip","numa","numb","legitideol","nationalist","socialist","conservative","autonomist","religious","totalcat","mideology","mnationalist","msocialist","mconservative","mautonomist","mreligious","initiator","revisionist","policyrevisionist","regimerevisionist","territorialrevisionist","otherrevisionist","nonterritorial","backdown","hostile","hostileorig","hostilepolicy","hostileregime","personofleader","coldwar","transformativeideology","cinc2"
"1763",630,1978,"Iran",0.122,0.088,0.049,0.04,0.109,0,0,0,0,0,0,0,0.79,0.721,0.06,0.221,0.233,0.444,NA,0,-0.789,-1.237,-1.82,"Mohammad Reza Shah Pahlavi - second period (16/08/1953 - 16/01/1979)",1,1,5,0.592,-1.021,-0.397,-1.312,0.346,-1.466,-1.096,-0.255,-1.36,95.8,NA,-1.231,2.168,1,0,0,0,0.667,0.737,0.457,0.432,0.655,0.119,0.091,0.417,-0.443,0.571,1.624,-0.816,-1.365,-0.7,1.528,0.508,-0.816,0.999,0.563,-0.203,0.226,1,10,2.248,8009,8.988,22101,10372,2379.81,2327.12,0.503,37308.4,1,0,0,0.6,0,0,0.4,0.8,0.4,0,0,0,0.2,0,0,0.2,1,0.2,0,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0.5,0,0,0,1.593,630,1,0,1,0,0,0,"Mohammad Reza",34,59,NA,NA,0,NA,NA,0,0,1,0,1,1,1,0,4,0.9582445,23,0.0112763,0,1,0,0,32473,0.568,2562,2602,"IRN",630,21,6,1978,21,6,1978,1,0,0,-9,1,-9,12,3,1,5,5,3,1,1,1,0.8361905,1,0,0,0,0.667,0.5714286,0.4778231,0.5714286,0,0,0,0.3811429,1,0,0,0,0,0,0,0,1,1,0,0,1.593,1,0.4778231,1.12763
"1764",630,1979,"Iran",0.145,0.072,0.07,0.203,0.155,0,0,0.6,0,0,0,0,0.772,0.712,0.205,0.221,NA,0.441,NA,0,0.813,-1.235,-0.807,"Islamic Republic of Iran (02/04/1979 - E)",1,13,NA,1.499,NA,1.705,-0.44,0.321,-1.505,-1.052,-0.052,-1.36,95.8,NA,-1.034,2.407,0.25,0,0,0.25,1,0.74,0.415,0.478,0.662,0.197,0.186,0.43,-0.07,0.571,1.624,-0.816,-0.641,-0.747,1.528,0.497,-0.816,0.999,0.616,-0.762,-0.15,-1,-88,2.359,7057,8.862,19976,9695,2690.17,2628.56,0.501,38365.2,1,0,0,0.2,0,0,0,1,0.4,0,0.2,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0,1.612,630,4,2,2,3,1,2,"Ayatollah Khomeini",77,77,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,0,0.0100691,0,0,0,0,29671,0.522,2106,2113,"IRN",630,27,2,1979,19,6,1979,0,1,2,-9,0,0,7,3,1,5,5,3,1,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,0,1,1,0,0,0,1,0,1,1,1,0,1.612,1,0.7492517,1.00691
"1765",630,1979,"Iran",0.145,0.072,0.07,0.203,0.155,0,0,0.6,0,0,0,0,0.772,0.712,0.205,0.221,NA,0.441,NA,0,0.813,-1.235,-0.807,"Islamic Republic of Iran (02/04/1979 - E)",1,13,NA,1.499,NA,1.705,-0.44,0.321,-1.505,-1.052,-0.052,-1.36,95.8,NA,-1.034,2.407,0.25,0,0,0.25,1,0.74,0.415,0.478,0.662,0.197,0.186,0.43,-0.07,0.571,1.624,-0.816,-0.641,-0.747,1.528,0.497,-0.816,0.999,0.616,-0.762,-0.15,-1,-88,2.359,7057,8.862,19976,9695,2690.17,2628.56,0.501,38365.2,1,0,0,0.2,0,0,0,1,0.4,0,0.2,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0,1.612,630,4,2,2,3,1,2,"Ayatollah Khomeini",77,77,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,0,0.0100691,0,0,0,0,29671,0.522,2109,2115,"IRN",630,24,10,1979,20,8,1988,0,0,0,-9,6,-9,20,5,1,5,3,1,1,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,0,0,0,0,0,0,0,1,1,1,0,0,1.612,1,0.7492517,1.00691
"1766",630,1979,"Iran",0.145,0.072,0.07,0.203,0.155,0,0,0.6,0,0,0,0,0.772,0.712,0.205,0.221,NA,0.441,NA,0,0.813,-1.235,-0.807,"Islamic Republic of Iran (02/04/1979 - E)",1,13,NA,1.499,NA,1.705,-0.44,0.321,-1.505,-1.052,-0.052,-1.36,95.8,NA,-1.034,2.407,0.25,0,0,0.25,1,0.74,0.415,0.478,0.662,0.197,0.186,0.43,-0.07,0.571,1.624,-0.816,-0.641,-0.747,1.528,0.497,-0.816,0.999,0.616,-0.762,-0.15,-1,-88,2.359,7057,8.862,19976,9695,2690.17,2628.56,0.501,38365.2,1,0,0,0.2,0,0,0,1,0.4,0,0.2,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0,1.612,630,4,2,2,3,1,2,"Ayatollah Khomeini",77,77,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,0,0.0100691,0,0,0,0,29671,0.522,3158,3020,"IRN",630,4,11,1979,21,1,1981,1,1,2,-9,0,0,15,4,1,5,7,1,1,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,1,1,1,0,0,0,1,0,1,1,1,0,1.612,1,0.7492517,1.00691
"1767",630,1979,"Iran",0.145,0.072,0.07,0.203,0.155,0,0,0.6,0,0,0,0,0.772,0.712,0.205,0.221,NA,0.441,NA,0,0.813,-1.235,-0.807,"Islamic Republic of Iran (02/04/1979 - E)",1,13,NA,1.499,NA,1.705,-0.44,0.321,-1.505,-1.052,-0.052,-1.36,95.8,NA,-1.034,2.407,0.25,0,0,0.25,1,0.74,0.415,0.478,0.662,0.197,0.186,0.43,-0.07,0.571,1.624,-0.816,-0.641,-0.747,1.528,0.497,-0.816,0.999,0.616,-0.762,-0.15,-1,-88,2.359,7057,8.862,19976,9695,2690.17,2628.56,0.501,38365.2,1,0,0,0.2,0,0,0,1,0.4,0,0.2,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0,1.612,630,4,2,2,3,1,2,"Ayatollah Khomeini",77,77,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,0,0.0100691,0,0,0,0,29671,0.522,3166,3025,"IRN",630,18,3,1979,26,6,1979,1,0,0,-9,-9,-9,16,4,1,5,5,3,1,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,1,0,0,0,0,0,0,0,1,1,0,0,1.612,1,0.7492517,1.00691
"1768",630,1980,"Iran",0.175,0.091,0.053,0.167,0.172,1,3,0.6,0,0,0,0,0.696,0.334,0.419,0.233,0.525,0.14,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-0.662,-0.753,-1.32,-0.791,0.936,-1.36,94.533,NA,-1.645,2.407,0.25,0,0,0.25,1,0.728,0.228,0.28,0.506,0.152,0.206,0.238,-0.987,0.332,0.954,-1.965,-1.346,-1.765,0.863,-0.39,-1.22,0.551,-0.04,-1.391,-1.522,1,-88,2.47,5817,8.669,14107,10849,1297.94,1270.54,0.499,39422,0,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0.5,0,1.612,630,3,1,1,2,1,1,"Ayatollah Khomeini",77,78,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,0,0.0081745,0,0,0,1,24956,0.72,3154,3017,"IRN",630,19,1,1980,4,3,1980,0,0,0,-9,0,0,7,3,1,5,5,3,1,2,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,0,0,0,0,0,0,0,0,1,1,0,0,1.612,1,0.7492517,0.81745
"1769",630,1980,"Iran",0.175,0.091,0.053,0.167,0.172,1,3,0.6,0,0,0,0,0.696,0.334,0.419,0.233,0.525,0.14,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-0.662,-0.753,-1.32,-0.791,0.936,-1.36,94.533,NA,-1.645,2.407,0.25,0,0,0.25,1,0.728,0.228,0.28,0.506,0.152,0.206,0.238,-0.987,0.332,0.954,-1.965,-1.346,-1.765,0.863,-0.39,-1.22,0.551,-0.04,-1.391,-1.522,1,-88,2.47,5817,8.669,14107,10849,1297.94,1270.54,0.499,39422,0,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0.5,0,1.612,630,3,1,1,2,1,1,"Ayatollah Khomeini",77,78,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,0,0.0081745,0,0,0,1,24956,0.72,3324,3108,"IRN",630,13,11,1980,16,11,1980,1,1,2,-9,0,0,16,4,1,5,5,3,0,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,1,1,1,0,0,0,1,0,1,1,1,0,1.612,1,0.7492517,0.81745
"1770",630,1981,"Iran",0.151,0.1,0.039,0.154,0.162,1,3,0.6,0,0,0,0,0.675,0.339,0.195,0.233,0.525,0.126,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-0.662,-0.753,-1.32,-0.791,0.936,-1.36,92,NA,-2.139,2.407,0.25,0,0,0.25,1,0.763,0.228,0.227,0.506,0.115,0.15,0.213,-1.272,0.332,0.954,-1.965,-1.721,-1.765,0.863,-0.39,-1.22,0.551,-0.04,-1.391,-1.522,1,-88,2.61,5403,8.595,9936.776,13515,1002.3,977.18,0.49,41146.7,1,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,1.612,630,3,2,3,3,2,3,"Ayatollah Khomeini",77,79,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,0,0.0081717,0,0,0,1,23451.78,0.773,3295,3095,"IRN",630,1,10,1981,1,10,1981,1,1,2,-9,0,0,16,4,1,5,5,3,0,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,1,1,1,0,0,0,1,0,1,1,1,0,1.612,1,0.7492517,0.81717
"1771",630,1981,"Iran",0.151,0.1,0.039,0.154,0.162,1,3,0.6,0,0,0,0,0.675,0.339,0.195,0.233,0.525,0.126,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-0.662,-0.753,-1.32,-0.791,0.936,-1.36,92,NA,-2.139,2.407,0.25,0,0,0.25,1,0.763,0.228,0.227,0.506,0.115,0.15,0.213,-1.272,0.332,0.954,-1.965,-1.721,-1.765,0.863,-0.39,-1.22,0.551,-0.04,-1.391,-1.522,1,-88,2.61,5403,8.595,9936.776,13515,1002.3,977.18,0.49,41146.7,1,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,1.612,630,3,2,3,3,2,3,"Ayatollah Khomeini",77,79,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,0,0.0081717,0,0,0,1,23451.78,0.773,3309,3100,"IRN",630,12,8,1981,19,8,1981,1,1,2,-9,0,0,15,4,1,5,7,3,0,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,1,1,1,0,0,0,1,0,1,1,1,0,1.612,1,0.7492517,0.81717
"1772",630,1981,"Iran",0.151,0.1,0.039,0.154,0.162,1,3,0.6,0,0,0,0,0.675,0.339,0.195,0.233,0.525,0.126,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-0.662,-0.753,-1.32,-0.791,0.936,-1.36,92,NA,-2.139,2.407,0.25,0,0,0.25,1,0.763,0.228,0.227,0.506,0.115,0.15,0.213,-1.272,0.332,0.954,-1.965,-1.721,-1.765,0.863,-0.39,-1.22,0.551,-0.04,-1.391,-1.522,1,-88,2.61,5403,8.595,9936.776,13515,1002.3,977.18,0.49,41146.7,1,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,1.612,630,3,2,3,3,2,3,"Ayatollah Khomeini",77,79,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,0,0.0081717,0,0,0,1,23451.78,0.773,3298,3097,"IRN",630,21,9,1981,21,9,1981,1,0,0,-9,1,-9,17,4,1,5,5,3,1,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,1,0,0,0,0,0,0,0,1,1,0,0,1.612,1,0.7492517,0.81717
"1773",630,1983,"Iran",0.106,0.086,0.039,0.132,0.151,1,3,0.6,0,0,0,0,0.739,0.365,0.048,0.158,0.525,0.125,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-2.009,-1.11,-1.32,-0.791,0.936,-1.36,92,NA,-2.139,2.407,0.25,0,0,0.25,1,0.763,0.228,0.23,0.506,0.086,0.06,0.213,-1.272,0.332,0.954,-1.965,-1.721,-1.765,0.863,-0.39,-1.22,0.551,-0.04,-1.391,-1.522,1,6,2.89,6516,8.782,19184.99,18103,1284.81,1245.16,0.473,44596.1,0,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,1.612,630,3,1,1,0,0,0,"Ayatollah Khomeini",77,81,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,1,0.010387,0,0,0,1,37287.99,0.77,3257,3071,"IRN",630,26,2,1983,26,7,1983,0,1,2,-9,0,0,7,3,1,5,5,3,1,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,0,1,1,0,0,0,1,0,1,1,1,0,1.612,1,0.7492517,1.0387
"1774",630,1983,"Iran",0.106,0.086,0.039,0.132,0.151,1,3,0.6,0,0,0,0,0.739,0.365,0.048,0.158,0.525,0.125,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-2.009,-1.11,-1.32,-0.791,0.936,-1.36,92,NA,-2.139,2.407,0.25,0,0,0.25,1,0.763,0.228,0.23,0.506,0.086,0.06,0.213,-1.272,0.332,0.954,-1.965,-1.721,-1.765,0.863,-0.39,-1.22,0.551,-0.04,-1.391,-1.522,1,6,2.89,6516,8.782,19184.99,18103,1284.81,1245.16,0.473,44596.1,0,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,1.612,630,3,1,1,0,0,0,"Ayatollah Khomeini",77,81,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,1,0.010387,0,0,0,1,37287.99,0.77,3235,3059,"IRN",630,9,10,1983,10,10,1983,1,0,0,-9,0,0,7,3,1,5,5,3,0,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,1,0,0,0,0,0,0,0,1,1,0,0,1.612,1,0.7492517,1.0387
"1775",630,1983,"Iran",0.106,0.086,0.039,0.132,0.151,1,3,0.6,0,0,0,0,0.739,0.365,0.048,0.158,0.525,0.125,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-2.009,-1.11,-1.32,-0.791,0.936,-1.36,92,NA,-2.139,2.407,0.25,0,0,0.25,1,0.763,0.228,0.23,0.506,0.086,0.06,0.213,-1.272,0.332,0.954,-1.965,-1.721,-1.765,0.863,-0.39,-1.22,0.551,-0.04,-1.391,-1.522,1,6,2.89,6516,8.782,19184.99,18103,1284.81,1245.16,0.473,44596.1,0,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,1.612,630,3,1,1,0,0,0,"Ayatollah Khomeini",77,81,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,1,0.010387,0,0,0,1,37287.99,0.77,2539,2590,"IRN",630,30,4,1983,30,4,1983,0,0,0,-9,-9,-9,17,4,1,5,5,3,1,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,0,0,0,0,0,0,0,0,1,1,0,0,1.612,1,0.7492517,1.0387
"1776",630,1984,"Iran",0.111,0.087,0.045,0.146,0.158,1,2,0.6,0,0,0,0,0.728,0.363,0.057,0.192,0.525,0.197,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-1.676,-0.132,-1.603,-0.792,0.959,-1.36,92,NA,-2.139,2.407,0.25,0,0,0.25,1,0.746,0.209,0.274,0.567,0.133,0.07,0.208,-0.97,0.332,0.954,-1.965,-1.721,-1.341,0.863,-0.39,-1.22,0.699,0.241,-1.137,-1.334,1,6,3.03,6368,8.759,15182.22,14494,1012.22,957.55,0.466,46320.8,0,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,1.612,630,7,7,6,6,6,6,"Ayatollah Khomeini",77,82,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,2,0.0121566,0,0,0,1,29676.22,0.726,3193,3042,"IRN",630,10,7,1984,24,10,1984,1,1,2,-9,0,0,16,4,1,5,5,3,0,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,1,1,1,0,0,0,1,0,1,1,1,0,1.612,1,0.7492517,1.21566
"1777",630,1984,"Iran",0.111,0.087,0.045,0.146,0.158,1,2,0.6,0,0,0,0,0.728,0.363,0.057,0.192,0.525,0.197,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-1.676,-0.132,-1.603,-0.792,0.959,-1.36,92,NA,-2.139,2.407,0.25,0,0,0.25,1,0.746,0.209,0.274,0.567,0.133,0.07,0.208,-0.97,0.332,0.954,-1.965,-1.721,-1.341,0.863,-0.39,-1.22,0.699,0.241,-1.137,-1.334,1,6,3.03,6368,8.759,15182.22,14494,1012.22,957.55,0.466,46320.8,0,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,1.612,630,7,7,6,6,6,6,"Ayatollah Khomeini",77,82,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,2,0.0121566,0,0,0,1,29676.22,0.726,3179,3034,"IRN",630,26,12,1984,26,12,1984,1,1,2,-9,0,0,16,4,1,5,5,3,0,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,1,1,1,0,0,0,1,0,1,1,1,0,1.612,1,0.7492517,1.21566
"1778",630,1984,"Iran",0.111,0.087,0.045,0.146,0.158,1,2,0.6,0,0,0,0,0.728,0.363,0.057,0.192,0.525,0.197,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-1.676,-0.132,-1.603,-0.792,0.959,-1.36,92,NA,-2.139,2.407,0.25,0,0,0.25,1,0.746,0.209,0.274,0.567,0.133,0.07,0.208,-0.97,0.332,0.954,-1.965,-1.721,-1.341,0.863,-0.39,-1.22,0.699,0.241,-1.137,-1.334,1,6,3.03,6368,8.759,15182.22,14494,1012.22,957.55,0.466,46320.8,0,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,1.612,630,7,7,6,6,6,6,"Ayatollah Khomeini",77,82,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,2,0.0121566,0,0,0,1,29676.22,0.726,3204,3048,"IRN",630,26,4,1984,5,7,1984,1,1,2,-9,0,0,16,4,1,5,5,3,1,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,1,1,1,0,0,0,1,0,1,1,1,0,1.612,1,0.7492517,1.21566
"1779",630,1984,"Iran",0.111,0.087,0.045,0.146,0.158,1,2,0.6,0,0,0,0,0.728,0.363,0.057,0.192,0.525,0.197,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-1.676,-0.132,-1.603,-0.792,0.959,-1.36,92,NA,-2.139,2.407,0.25,0,0,0.25,1,0.746,0.209,0.274,0.567,0.133,0.07,0.208,-0.97,0.332,0.954,-1.965,-1.721,-1.341,0.863,-0.39,-1.22,0.699,0.241,-1.137,-1.334,1,6,3.03,6368,8.759,15182.22,14494,1012.22,957.55,0.466,46320.8,0,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,1.612,630,7,7,6,6,6,6,"Ayatollah Khomeini",77,82,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,2,0.0121566,0,0,0,1,29676.22,0.726,3181,3035,"IRN",630,25,12,1984,25,12,1984,1,1,2,-9,0,0,16,4,1,5,5,3,0,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,1,1,1,0,0,0,1,0,1,1,1,0,1.612,1,0.7492517,1.21566
"1780",630,1984,"Iran",0.111,0.087,0.045,0.146,0.158,1,2,0.6,0,0,0,0,0.728,0.363,0.057,0.192,0.525,0.197,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-1.676,-0.132,-1.603,-0.792,0.959,-1.36,92,NA,-2.139,2.407,0.25,0,0,0.25,1,0.746,0.209,0.274,0.567,0.133,0.07,0.208,-0.97,0.332,0.954,-1.965,-1.721,-1.341,0.863,-0.39,-1.22,0.699,0.241,-1.137,-1.334,1,6,3.03,6368,8.759,15182.22,14494,1012.22,957.55,0.466,46320.8,0,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,1.612,630,7,7,6,6,6,6,"Ayatollah Khomeini",77,82,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,2,0.0121566,0,0,0,1,29676.22,0.726,3190,3040,"IRN",630,9,9,1984,15,9,1984,1,1,2,-9,0,0,16,4,1,5,5,3,0,1,1,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,1,1,1,0,0,0,1,0,1,1,1,0,1.612,1,0.7492517,1.21566
"1781",630,1984,"Iran",0.111,0.087,0.045,0.146,0.158,1,2,0.6,0,0,0,0,0.728,0.363,0.057,0.192,0.525,0.197,NA,0,1.025,-1.788,-1.573,"Islamic Republic of Iran (02/04/1979 - E)",1,13,7,1.499,-0.132,1.705,-1.676,-0.132,-1.603,-0.792,0.959,-1.36,92,NA,-2.139,2.407,0.25,0,0,0.25,1,0.746,0.209,0.274,0.567,0.133,0.07,0.208,-0.97,0.332,0.954,-1.965,-1.721,-1.341,0.863,-0.39,-1.22,0.699,0.241,-1.137,-1.334,1,6,3.03,6368,8.759,15182.22,14494,1012.22,957.55,0.466,46320.8,0,1,0,0,0,0,0,1,0.4,0,0.4,0,0,0,0,0,1,0.2,0,0.2,0,0,0,0,0,0.5,0,1,0,0,0,0.5,0,0,1.612,630,7,7,6,6,6,6,"Ayatollah Khomeini",77,82,1,1,0,0,1,0,1,1,0,1,1,1,1,6,0.9582445,2,0.0121566,0,0,0,1,29676.22,0.726,3907,3617,"IRN",630,9,5,1984,23,7,1984,1,1,2,-9,0,0,16,4,1,5,5,3,1,1,6,0.874127,0.25,0,0,0.3333333,1,0.8571429,0.7492517,0.2142857,0,0,0.2857143,0.8571429,1,1,1,0,0,0,1,0,1,1,1,0,1.612,1,0.7492517,1.21566
