itn,education,age,rural,pregnant,infant,malmessage,altitude,household
1,9,20,0,0,1,1,1.24,419
0,0,35,0,0,0,0,1.24,420
0,11,38,0,0,0,1,1.24,421
0,11,19,0,0,0,1,1.24,421
1,10,17,0,0,1,0,1.24,422
0,6,30,0,0,0,1,1.24,423
0,16,45,0,0,0,1,1.24,424
0,0,30,0,0,0,0,1.24,424
1,11,32,0,0,0,1,1.24,425
0,9,25,0,0,0,1,1.24,425
1,14,35,0,0,0,0,1.214,426
1,15,25,0,0,0,0,1.214,427
1,15,25,0,0,0,1,1.214,427
1,11,18,0,0,0,0,1.214,427
1,12,33,0,0,0,1,1.214,428
1,16,22,0,0,0,1,1.214,428
1,15,21,0,0,0,1,1.214,428
1,14,19,0,0,0,0,1.214,428
0,14,19,0,0,0,1,1.214,428
1,15,29,0,0,0,1,1.214,429
1,14,20,0,0,0,0,1.214,429
1,12,31,0,0,0,1,1.214,430
1,11,24,0,0,0,1,1.214,430
1,9,27,0,0,0,0,1.214,431
0,8,15,0,0,0,1,1.214,431
1,16,21,0,0,0,1,1.214,432
1,11,25,0,0,1,1,1.214,433
1,13,35,0,0,0,1,1.214,434
1,8,31,0,0,0,1,1.158,435
1,9,36,0,0,0,0,1.158,436
1,10,16,0,0,0,0,1.158,436
1,7,35,0,0,0,0,1.158,437
0,7,16,0,0,0,0,1.158,437
1,18,25,0,0,0,1,1.158,438
1,7,20,0,0,0,1,1.158,438
1,9,30,0,0,0,1,1.158,439
1,13,23,0,0,0,1,1.158,440
1,7,42,0,0,0,1,1.158,441
1,9,16,0,0,0,0,1.158,442
1,17,24,0,0,0,1,1.158,443
0,7,20,0,0,0,1,1.158,443
1,7,22,0,0,0,0,1.158,444
1,4,28,0,0,0,0,1.211,445
1,0,49,0,0,0,0,1.211,446
1,7,15,0,0,0,1,1.211,446
0,9,16,0,0,0,1,1.211,447
0,11,31,0,0,1,1,1.211,448
1,4,22,0,1,0,0,1.211,449
1,0,30,0,0,0,1,1.211,450
1,9,34,0,0,0,0,1.211,451
1,13,21,0,0,0,1,1.211,452
1,7,28,0,0,1,1,1.211,453
1,10,34,0,0,1,1,1.211,454
1,9,41,0,0,0,1,1.211,455
0,12,19,0,0,0,1,1.211,455
0,9,18,0,0,0,1,1.211,455
0,6,15,0,0,0,1,1.211,455
1,7,20,1,1,0,0,1.191,456
1,7,24,1,0,1,1,1.191,457
1,8,34,1,0,1,1,1.191,458
0,0,28,1,0,0,0,1.191,459
0,0,24,1,1,0,0,1.191,459
1,0,19,1,0,1,1,1.191,460
1,0,18,1,0,0,0,1.191,460
1,11,18,1,0,0,1,1.191,461
0,0,34,1,0,0,1,1.191,462
1,10,22,1,0,0,1,1.191,463
1,8,45,1,0,0,1,1.191,464
1,7,39,1,0,0,0,1.191,465
0,5,15,1,0,0,0,1.191,465
1,7,19,1,1,1,1,1.191,466
0,6,28,1,0,0,0,1.191,467
0,7,16,1,0,0,0,1.191,467
1,9,23,1,1,0,1,2.084,468
1,6,22,1,0,1,0,2.084,469
1,8,27,1,0,0,1,2.084,470
1,3,40,1,0,0,1,2.084,471
1,15,29,1,0,0,1,2.084,472
